date,account,total_pnl,mean_pnl,trade_count,win_count,avg_leverage,max_leverage,avg_size,total_volume,sentiment,is_fear,win_rate,prev_sentiment,sentiment_shift,fear_to_greed,greed_to_fear,trader_tier,lifetime_pnl,avg_win_rate,total_trades,sharpe_ratio,is_overleveraged
1970-01-01,0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,2.928191023869849,14998,3929,1.0,1,820.4285131350847,12304786.84,Neutral,0.0,0.26196826243499133,,True,False,False,Bottom,43917.008976,0.26196826243499133,14998,,1
1970-01-01,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,41.47409637418087,3052,871,1.0,1,3601.689298820446,10992355.74,Neutral,0.0,0.2853866317169069,,True,False,False,Mid,126578.942134,0.2853866317169069,3052,,1
1970-01-01,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,6.81210350887536,15605,5396,1.0,1,1273.1950003204101,19868207.98,Neutral,0.0,0.3457866068567767,,True,False,False,Mid,106302.875256,0.3457866068567767,15605,,1
1970-01-01,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,174.6918088057554,417,239,1.0,1,2066.6892086330936,861809.4,Neutral,0.0,0.5731414868105515,,True,False,False,Mid,72846.484272,0.5731414868105515,417,,1
1970-01-01,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,120.50731710657195,563,230,1.0,1,2979.4417761989343,1677425.72,Neutral,0.0,0.40852575488454707,,True,False,False,Mid,67845.619531,0.40852575488454707,563,,1
1970-01-01,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,40.746875941947565,534,172,1.0,1,8330.193370786517,4448323.26,Neutral,0.0,0.32209737827715357,,True,False,False,Bottom,21758.831753,0.32209737827715357,534,,1
1970-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,145.48174829898866,14733,4967,1.0,1,3837.885375008484,56543565.23,Neutral,0.0,0.3371343243059798,,True,False,False,Top,2143382.597689,0.3371343243059798,14733,,1
1970-01-01,0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4.648305254443986,4838,2122,1.0,1,22504.555828854896,108877041.1,Neutral,0.0,0.4386109962794543,,True,False,False,Bottom,22488.500821,0.4386109962794543,4838,,1
1970-01-01,0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,44.364090516232544,21192,9909,1.0,1,3210.472831257078,68036340.24,Neutral,0.0,0.46758210645526616,,True,False,False,Top,940163.80622,0.46758210645526616,21192,,1
1970-01-01,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,83.49831952025748,2641,865,1.0,1,7852.098337750852,20737391.71,Neutral,0.0,0.32752745172283226,,True,False,False,Mid,220519.061853,0.32752745172283226,2641,,1
1970-01-01,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,20.806304824731235,40184,17208,1.0,1,1844.2118863229146,74107810.44,Neutral,0.0,0.428230141349791,,True,False,False,Top,836080.553077,0.428230141349791,40184,,1
